Submission id,participant_id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62963a52e085c931ca97d194,60ecb41a4a9023db55e9c061,APPROVED,2022-05-31T15:55:53.640000Z,2022-05-31T16:52:27.658000Z,2022-06-01T16:07:27.568000Z,,3395,RNFS5HP5,130,0,100,32,Male,White,Bosnia and Herzegovina,Austria,Croatia,Croatian,No,Part-Time
62963a535d0c051b670dd6d3,615244e111aefca2b42a35f9,APPROVED,2022-05-31T15:55:27.771000Z,2022-05-31T16:45:44.184000Z,2022-06-01T16:07:27.815000Z,,3017,RNFS5HP5,350,1,100,31,Female,Mixed,Egypt,United Kingdom,Egypt,Arabic,No,Unemployed (and job seeking)
62963a538d9f24c3ea84b187,602d29200724e36ae7a9def2,APPROVED,2022-05-31T15:55:03.283000Z,2022-05-31T17:16:33.214000Z,2022-06-01T16:07:29.141000Z,,4890,RNFS5HP5,389,10,98,37,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,South Africa,DATA_EXPIRED,French,DATA_EXPIRED,DATA_EXPIRED
62963a538f324bed137d642d,610185b659db06a83c4e634a,APPROVED,2022-05-31T15:55:14.237000Z,2022-05-31T16:46:05.494000Z,2022-06-01T16:07:29.410000Z,,3052,RNFS5HP5,228,1,100,23,Female,White,France,France,France,French,Yes,DATA_EXPIRED
62963a5390fe1d78cae1fac1,60b9b66f3b3795d796a82ee6,APPROVED,2022-05-31T15:55:23.163000Z,2022-05-31T16:39:37.202000Z,2022-06-01T16:07:29.876000Z,,2655,RNFS5HP5,281,1,100,28,Male,White,Greece,United Kingdom,Greece,Greek,Yes,Full-Time
62963a545163fd55aa7875f6,6099132b6d152b812fdc911c,APPROVED,2022-05-31T15:55:16.333000Z,2022-05-31T16:30:37.011000Z,2022-06-01T16:07:30.881000Z,,2121,RNFS5HP5,188,1,100,21,Male,Asian,Italy,Italy,Italy,Italian,DATA_EXPIRED,Unemployed (and job seeking)
62963a54562207f1bed8aeae,611bb2a6d9678117db737236,APPROVED,2022-05-31T15:55:04.377000Z,2022-05-31T16:37:34.975000Z,2022-06-01T16:07:31.328000Z,,2551,RNFS5HP5,276,3,99,23,Male,White,Spain,Spain,Spain,Catalan,No,Due to start a new job within the next month
62963a54fc9aa9bf2de5da98,60e0e2d9a207ba546969b432,APPROVED,2022-05-31T15:55:09.597000Z,2022-05-31T16:36:28.275000Z,2022-06-01T16:07:32.227000Z,,2479,RNFS5HP5,227,0,100,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62963a552f345c4e074ff63f,60ddfb3db6a71ad9ba75e387,APPROVED,2022-05-31T15:55:50.861000Z,2022-05-31T16:41:00.859000Z,2022-06-01T16:07:32.513000Z,,2710,RNFS5HP5,436,1,100,19,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
62963a5539b95210e21c67b1,60ec51c51a3158a50ded8a3e,APPROVED,2022-05-31T15:55:15.842000Z,2022-05-31T16:34:54.811000Z,2022-06-01T16:07:32.649000Z,,2379,RNFS5HP5,266,2,100,19,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
