Submission id,participant_id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
629e1bb6cb971b1978e77ee0,60717e12499498909e4883f1,APPROVED,2022-06-06T15:22:30.045000Z,2022-06-06T16:49:50.018000Z,2022-06-08T19:18:58.542000Z,,5240,RNFS5HP5,39,0,100,20,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
629e1bba5122dc5517bf79cb,61006e8a4fe954de47730409,APPROVED,2022-06-06T15:22:34.862000Z,2022-06-06T16:11:21.071000Z,2022-06-08T19:18:58.685000Z,,2927,RNFS5HP5,127,0,100,24,Female,White,Greece,Greece,Greece,Greek,Yes,Due to start a new job within the next month
629e1bbddd4f7b0ef41b7555,607ea5504e74d104da5a108a,APPROVED,2022-06-06T15:22:39.226000Z,2022-06-06T16:05:56.894000Z,2022-06-08T19:18:58.796000Z,,2598,RNFS5HP5,148,2,99,21,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
629e1bbe03f883adfb7af43b,5f4fdcd78bb76c105ccdc80f,APPROVED,2022-06-06T15:22:43.245000Z,2022-06-06T16:06:11.298000Z,2022-06-08T19:18:58.988000Z,,2609,RNFS5HP5,123,0,100,26,Female,White,Greece,Greece,Greece,Greek,No,Due to start a new job within the next month
629e1bc0fd1fbf5526031e02,611d05e0ee4afd960f1e6e77,APPROVED,2022-06-06T15:22:46.256000Z,2022-06-06T16:21:17.116000Z,2022-06-08T19:18:59.097000Z,,3511,RNFS5HP5,23,0,100,21,Female,Black,Lesotho,South Africa,Lesotho,English,Yes,Unemployed (and job seeking)
629e1bc80e580cc9f9e7dbe1,60bf4905cbd90fcec5e91479,APPROVED,2022-06-06T15:22:48.086000Z,2022-06-06T16:07:23.481000Z,2022-06-08T19:18:59.205000Z,,2676,RNFS5HP5,117,2,99,25,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
629e1bc9ba57cb4b6fdd2949,610eb5c0e403b969c1efe69c,APPROVED,2022-06-06T15:23:00.633000Z,2022-06-06T15:38:10.108000Z,2022-06-08T19:18:59.304000Z,,910,4341117A,116,1,100,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
629e1bd2b3dc1b2fff203f2c,61119ee3576ae2aa2cc8cc32,APPROVED,2022-06-06T15:22:58.124000Z,2022-06-06T16:09:40.095000Z,2022-06-08T19:18:59.413000Z,,2802,RNFS5HP5,46,1,100,19,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,Due to start a new job within the next month
629e1bd7e81faf3c5636d431,6000d5f5eebf792047c6fd23,APPROVED,2022-06-06T15:23:03.408000Z,2022-06-06T17:01:21.474000Z,2022-06-08T19:18:59.552000Z,,5899,RNFS5HP5,162,0,100,22,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
629e1be5ecc4e02ae5bd29a4,615484378ed6e9e648ce3ff9,APPROVED,2022-06-06T15:23:21.189000Z,2022-06-06T16:05:37.034000Z,2022-06-08T19:18:59.674000Z,,2536,RNFS5HP5,144,0,100,19,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
