Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
620bbf25f2c016b43fef7f20,5cb0d94aff629100171b05b1,APPROVED,2022-02-15T14:56:47.232000Z,2022-02-15T15:41:18.433000Z,2022-02-18T14:28:09.565000Z,,2672,RNFS5HP5,641,7,99,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
620bbf263e5d38d4329f9fdf,61648e4f0d2212047ab36b27,APPROVED,2022-02-15T14:56:55.739000Z,2022-02-15T16:03:00.934000Z,2022-02-18T14:28:02.808000Z,,3966,RNFS5HP5,129,4,96,19,Male,Black,South Africa,South Africa,South Africa,English,Yes,DATA_EXPIRED
620bbf269581db7a84f0aef7,60a256f83ef6ada5debc47a9,APPROVED,2022-02-15T14:56:38.924000Z,2022-02-15T15:40:25.650000Z,2022-02-18T14:27:46.921000Z,,2627,RNFS5HP5,355,0,100,30,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time
620bbf2697d1ac56924a6771,614ca4f33d21dcd9f473fd09,APPROVED,2022-02-15T14:56:45.797000Z,2022-02-15T15:44:48.384000Z,2022-02-18T14:27:58.117000Z,,2883,RNFS5HP5,246,1,100,30,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
620bbf27591f5becceb768a6,614f794ab869891afb59b05a,APPROVED,2022-02-15T14:56:43.474000Z,2022-02-15T15:42:24.240000Z,2022-02-18T14:27:54.996000Z,,2741,RNFS5HP5,53,1,99,48,Male,White,Greece,United Kingdom,Greece,Greek,No,Part-Time
620bbf275e95d461f81bb666,60ddd06d5358cdcab4a3c82c,APPROVED,2022-02-15T15:02:16.958000Z,2022-02-15T16:07:06.466000Z,2022-02-18T14:27:21.546000Z,,3890,RNFS5HP5,186,1,100,38,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
620bbf2766cf1d1efb055bc7,5f70f2daea9a9f7076484982,APPROVED,2022-02-15T14:57:04.145000Z,2022-02-15T15:49:40.829000Z,2022-02-18T14:27:30.250000Z,,3157,RNFS5HP5,559,4,100,38,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
620bbf2766ed532b8664b683,610b256429bc66f3d041936f,APPROVED,2022-02-15T14:56:45.301000Z,2022-02-15T16:02:42.450000Z,2022-02-18T14:27:56.865000Z,,3958,RNFS5HP5,62,1,100,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
620bbf282362128092d8d9bc,602e48dbf732e9962e27fdbd,APPROVED,2022-02-15T14:57:27.687000Z,2022-02-15T16:02:58.319000Z,2022-02-18T14:27:23.959000Z,,3931,RNFS5HP5,378,2,100,32,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
620bbf285d6bdedf43064074,60ccf8132d00b57fbb70fa5c,APPROVED,2022-02-15T14:56:42.605000Z,2022-02-15T15:34:40.412000Z,2022-02-18T14:27:50.785000Z,,2278,RNFS5HP5,319,6,97,21,Male,White,United Kingdom,United Kingdom,Latvia,English,Yes,Part-Time
620bbf29210f4741a43b8e0b,609ffde6ce77f26ad8157c29,APPROVED,2022-02-15T14:57:17.385000Z,2022-02-15T15:41:08.677000Z,2022-02-18T14:27:26.511000Z,,2632,RNFS5HP5,393,7,97,49,Female,White,United Kingdom,Ireland,United Kingdom,English,No,Full-Time
620bbf293230fc5ec77eb4b0,607ec7379eac7be04ab448e3,APPROVED,2022-02-15T14:56:43.297000Z,2022-02-15T15:41:37.811000Z,2022-02-18T14:27:53.067000Z,,2695,RNFS5HP5,109,1,100,20,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
620bbf29d4d016741f46feac,60de16b5b8d11b9990aec16e,APPROVED,2022-02-15T14:56:44.833000Z,2022-02-15T15:43:29.981000Z,2022-02-18T14:27:56.156000Z,,2806,RNFS5HP5,131,0,100,30,Female,White,Russian Federation,Spain,Russian Federation,Russian,No,Part-Time
620bbf29de1434cd275dc062,60fecc838b1c231b1732cbb0,APPROVED,2022-02-15T14:56:41.489000Z,2022-02-15T15:39:55.685000Z,2022-02-18T14:27:49.994000Z,,2595,RNFS5HP5,190,0,100,27,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
