Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
61f2a0127fe31655393bfddf,5e0c68d5dd997b4356c54134,APPROVED,2022-01-27T13:37:28.974000Z,2022-01-27T14:36:09.596000Z,2022-01-28T12:53:51.019000Z,,3521,RNFS5HP5,460,4,99,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
61f2b92211890a8dc768c602,5efa1c514003e68155b99a93,APPROVED,2022-01-27T15:24:18.737000Z,2022-01-27T16:00:23.669000Z,2022-01-28T12:53:51.103000Z,,2165,RNFS5HP5,447,2,100,21,Male,White,United Kingdom,Slovenia,United Kingdom,English,Yes,Part-Time
61f2b9223fd8a9aebefdf5c1,610b13ef43a49925e8e6d008,APPROVED,2022-01-27T15:25:44.466000Z,2022-01-27T16:10:39.693000Z,2022-01-28T12:53:51.172000Z,,2696,RNFS5HP5,131,6,96,25,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
61f2b9242f4f20189034beb1,60a0c79b332c02c8a73e57a5,APPROVED,2022-01-27T15:24:20.281000Z,2022-01-27T16:03:04.586000Z,2022-01-28T12:53:51.260000Z,,2325,RNFS5HP5,421,6,98,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61f2b9244f21facf5eb62a11,5f06eefaf3fc742667b4e79d,APPROVED,2022-01-27T15:33:15.234000Z,2022-01-27T16:24:01.251000Z,2022-01-28T12:53:51.339000Z,,3047,RNFS5HP5,592,5,100,35,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
61f2b9254eeae5a514695988,60df18359fbef8eba6c7ed7b,APPROVED,2022-01-27T15:24:28.625000Z,2022-01-27T16:15:08.710000Z,2022-01-28T12:53:51.427000Z,,3041,RNFS5HP5,97,0,100,38,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
61f2b925c66095de6bd3801e,5fbfe145e52a44000a9c2966,APPROVED,2022-01-27T15:24:51.143000Z,2022-01-27T16:26:27.301000Z,2022-01-28T12:53:51.550000Z,,3697,RNFS5HP5,414,1,100,32,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
61f2b9265509a3b6375d9839,611ed2c05be8517aa0d6076b,APPROVED,2022-01-27T15:24:26.719000Z,2022-01-27T16:01:41.343000Z,2022-01-28T12:53:51.624000Z,,2235,RNFS5HP5,243,1,100,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
61f2b926af2d490696c480c7,61583e5838de2383e5d85e8e,APPROVED,2022-01-27T15:29:23.586000Z,2022-01-27T16:20:28.202000Z,2022-01-28T12:53:51.715000Z,,3065,RNFS5HP5,315,0,100,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61f2b92703bc530573787d06,6130d846086f43ecd225d128,APPROVED,2022-01-27T15:24:23.969000Z,2022-01-27T16:05:03.181000Z,2022-01-28T12:53:51.839000Z,,2440,RNFS5HP5,309,0,100,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
61f2b9271014d8b7468dcad9,5e82393e3c757f94be4685e1,APPROVED,2022-01-27T15:24:39.152000Z,2022-01-27T16:01:12.585000Z,2022-01-28T12:53:51.916000Z,,2194,RNFS5HP5,284,1,100,24,Male,White,Italy,Italy,Italy,Italian,Yes,Other
61f2b927df8985c6ab62d443,60a45d758006be79e8b07ed9,APPROVED,2022-01-27T15:25:01.039000Z,2022-01-27T16:20:09.989000Z,2022-01-28T12:53:51.991000Z,,3309,RNFS5HP5,221,2,100,20,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Unemployed (and job seeking)
61f2b9281420b38671d1bfdc,60f80462613c5e998b7c667b,APPROVED,2022-01-27T15:24:32.479000Z,2022-01-27T16:09:54.116000Z,2022-01-28T12:53:52.076000Z,,2722,RNFS5HP5,389,0,100,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
61f2b928281b98e4c2013cf9,5f0ae85ed1a1d801cf4e8106,APPROVED,2022-01-27T15:24:28.859000Z,2022-01-27T16:06:46.999000Z,2022-01-28T12:53:52.159000Z,,2539,RNFS5HP5,389,0,100,32,Female,White,Hungary,Hungary,Hungary,English,Yes,Part-Time
61f2b92929b6c29c8233c4cb,602f5e9bc9242fc36a5efc75,APPROVED,2022-01-27T15:24:28.368000Z,2022-01-27T16:09:02.819000Z,2022-01-28T12:53:52.239000Z,,2675,RNFS5HP5,126,2,99,20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
61f2b929480b42f542d82def,61685ad4fc472120a9cc6ab1,APPROVED,2022-01-27T15:26:19.597000Z,2022-01-27T16:12:57.880000Z,2022-01-28T12:53:52.323000Z,,2799,RNFS5HP5,80,0,100,29,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
61f2b929bc3d47e5712c7e8b,5ebaec011a7d64080694fe74,APPROVED,2022-01-27T15:24:25.175000Z,2022-01-27T16:19:12.869000Z,2022-01-28T12:53:52.426000Z,,3288,RNFS5HP5,998,12,97,50,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
61f2b92a89426c455299a26b,614f43a6c90a283cc07af4a2,APPROVED,2022-01-27T15:24:52.228000Z,2022-01-27T16:09:11.537000Z,2022-01-28T12:53:52.512000Z,,2660,RNFS5HP5,230,1,100,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
61f2b92a8a1bd1c1c4d3727d,60f21ab1d283407266f3e83d,APPROVED,2022-01-27T15:24:33.308000Z,2022-01-27T16:31:26.158000Z,2022-01-28T12:53:52.613000Z,,4013,RNFS5HP5,170,2,99,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
61f2b92ab39b1d5bd0e58c23,6066e9cfce4f74fe20aa3cad,APPROVED,2022-01-27T15:24:59.684000Z,2022-01-27T16:01:57.666000Z,2022-01-28T12:53:52.694000Z,,2218,RNFS5HP5,247,5,98,47,Male,White,Germany,Poland,Poland,Polish,No,Full-Time
61f2b92b4a65f718befeb47e,60512fdbba1a7d95abaab18c,APPROVED,2022-01-27T15:24:27.559000Z,2022-01-27T16:25:30.608000Z,2022-01-28T12:53:52.788000Z,,3664,RNFS5HP5,260,3,100,47,Male,White,South Africa,Portugal,Portugal,Portuguese,No,Full-Time
61f2b92bc1131af41f78e380,61262a5bc13139179a45c068,APPROVED,2022-01-27T15:24:34.040000Z,2022-01-27T16:06:06.049000Z,2022-01-28T12:53:52.888000Z,,2493,RNFS5HP5,255,2,100,25,Female,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Full-Time
61f2b92c0f6ad9b808d5038f,5f3d49c430715f09ebb6389e,APPROVED,2022-01-27T15:24:28.484000Z,2022-01-27T16:09:29.489000Z,2022-01-28T12:53:52.960000Z,,2702,RNFS5HP5,782,0,100,51,Female,White,Canada,Canada,Canada,English,Yes,Part-Time
61f2b92cbf0b41d6e0db8f48,613b9970d27548b91ee600a3,APPROVED,2022-01-27T15:25:52.463000Z,2022-01-27T16:11:15.507000Z,2022-01-28T12:53:53.034000Z,,2724,RNFS5HP5,469,3,100,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61f2b92d464c75340d47af04,5f6db0c1e6ec2a2317c18590,APPROVED,2022-01-27T15:24:29.690000Z,2022-01-27T16:00:58.182000Z,2022-01-28T12:53:53.125000Z,,2189,RNFS5HP5,59,3,93,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
61f2b92d937a05ac89419bc3,612a3db8337d599dd9b183d6,APPROVED,2022-01-27T15:24:34.053000Z,2022-01-27T16:13:20.634000Z,2022-01-28T12:53:53.204000Z,,2927,RNFS5HP5,173,1,100,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
61f2b92e2173d481a63ab784,5fbf94f2891c55203896f7dc,APPROVED,2022-01-27T15:24:35.220000Z,2022-01-27T16:04:40.513000Z,2022-01-28T12:53:53.314000Z,,2406,RNFS5HP5,720,10,98,43,Male,Asian,Pakistan,United Kingdom,United Kingdom,Urdu,No,Full-Time
61f2b92e3d11ad24be4b42d3,5d9913488b3c7202c8a392a0,APPROVED,2022-01-27T15:24:33.970000Z,2022-01-27T16:22:15.858000Z,2022-01-28T12:53:53.414000Z,,3462,RNFS5HP5,124,2,100,33,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
61f2b92f610fbe80e14ae564,611377fd09174366ceb0193b,APPROVED,2022-01-27T15:24:34.868000Z,2022-01-27T16:06:52.790000Z,2022-01-28T12:53:53.496000Z,,2538,RNFS5HP5,81,0,100,28,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Full-Time
61f2b930050f4af2a06e6000,5f6d251456de4b19b7738521,APPROVED,2022-01-27T15:24:47.758000Z,2022-01-27T16:12:44.590000Z,2022-01-28T12:53:53.594000Z,,2877,RNFS5HP5,188,2,100,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
61f2b93089426c455299a26e,602e7909ef81ce9f4fab4043,APPROVED,2022-01-27T15:24:35.494000Z,2022-01-27T15:59:43.770000Z,2022-01-28T12:53:53.676000Z,,2109,RNFS5HP5,77,3,97,23,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
61f2b931c66095de6bd38023,605f5f48a941e32ac784c084,APPROVED,2022-01-27T15:24:37.284000Z,2022-01-27T16:05:42.451000Z,2022-01-28T12:53:53.773000Z,,2466,RNFS5HP5,127,0,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
61f2b93203bc530573787d09,5d891cd0a592de000185ca5b,APPROVED,2022-01-27T15:25:08.210000Z,2022-01-27T16:12:02.417000Z,2022-01-28T12:53:53.875000Z,,2815,RNFS5HP5,253,2,100,25,Male,White,Poland,Poland,Poland,Polish,No,Part-Time
61f2b9325a83c064e084f086,5a1f3f0f517dfb00013dd40a,APPROVED,2022-01-27T15:24:34.824000Z,2022-01-27T16:03:11.420000Z,2022-01-28T12:53:53.965000Z,,2317,RNFS5HP5,242,0,100,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
61f2b93270af73c6dff7b7a7,5fa85a35ded6106d217ce895,APPROVED,2022-01-27T15:24:33.997000Z,2022-01-27T16:15:58.328000Z,2022-01-28T12:53:54.045000Z,,3085,RNFS5HP5,277,0,100,20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
61f2b9333e962b97c34ff8aa,5977b77fe645fa0001d3bce6,APPROVED,2022-01-27T15:24:49.208000Z,2022-01-27T16:15:15.840000Z,2022-01-28T12:53:54.135000Z,,3027,RNFS5HP5,495,7,98,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
61f2b93380a49292bb7d6782,614a4991d4f8ccec7f5fe3b6,APPROVED,2022-01-27T15:27:32.408000Z,2022-01-27T16:09:44.381000Z,2022-01-28T12:53:54.219000Z,,2532,RNFS5HP5,71,0,100,25,Female,White,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
61f2b9339795810f0dd306c5,5e015e48946e97d428a04739,APPROVED,2022-01-27T15:24:53.901000Z,2022-01-27T16:03:42.864000Z,2022-01-28T12:53:54.294000Z,,2329,RNFS5HP5,262,8,96,27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
61f2b933db7c3ee4783f988d,55bf38cdfdf99b0ceb57325a,APPROVED,2022-01-27T15:24:35.048000Z,2022-01-27T16:05:44.180000Z,2022-01-28T12:53:54.393000Z,,2470,RNFS5HP5,313,10,96,42,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
61f2b9340d409b8cb634e464,5918a03738cc6d0001a4bde7,APPROVED,2022-01-27T15:24:36.776000Z,2022-01-27T16:17:40.561000Z,2022-01-28T12:53:54.477000Z,,3184,RNFS5HP5,1403,5,100,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
