subject,slope,modality
30,0.00833333333333358,SP
31,-0.125,SP
32,0.9,SP
33,0.533333333333333,SP
34,0.0833333333333332,SP
35,0.0916666666666667,SP
36,0.225,SP
37,0.483333333333333,SP
38,0.0166666666666668,SP
39,0.416666666666666,SP
40,0.45,SP
41,0.541666666666666,SP
42,0.341666666666667,SP
43,0.225,SP
44,0.0416666666666666,SP
45,0.733333333333333,SP
46,0.0833333333333333,SP
47,0.141666666666667,SP
48,1.01666666666667,SP
49,0.116666666666667,SP
50,0.916666666666666,SP
51,0.5,SP
52,0.341666666666667,SP
53,0.0833333333333338,SP
54,0.0416666666666666,SP
55,1.05,SP
56,1.225,SP
57,0.575,SP
58,1.375,SP
59,0.5,SP
60,0.45,SP
61,0.0833333333333338,SP
62,-0.833333333333333,SP
63,0.6,SP
64,0.608333333333333,SP
65,0.633333333333333,SP
66,9.17306727455841e-17,SP
67,1.83461345491168e-16,SP
68,0.924999999999999,SP
69,-0.325,SP
70,0.958333333333333,SP
71,1.03333333333333,SP
