subject,exp_num,RT,modality
80,3.1,1459.5,EE
1,3.2,1301,e
1,3.2,1406,d
1,3.2,1187,EE
2,3.2,2365,e
2,3.2,2388,d
2,3.2,3106,EE
3,3.2,1064,e
3,3.2,1220,d
3,3.2,993,EE
4,3.2,1227,e
4,3.2,1446,d
4,3.2,1245.5,EE
5,3.2,1152.5,e
5,3.2,1638.5,d
5,3.2,1074,EE
6,3.2,1084,e
6,3.2,1225.5,d
6,3.2,970.5,EE
7,3.2,3151,e
7,3.2,3256,d
7,3.2,3708,EE
8,3.2,1096.5,e
8,3.2,1275.5,d
8,3.2,908,EE
9,3.2,1464,e
9,3.2,944,d
9,3.2,839,EE
10,3.2,1108,e
10,3.2,1129,d
10,3.2,1068.5,EE
11,3.2,986.5,e
11,3.2,833.5,d
11,3.2,1139,EE
12,3.2,1276,e
12,3.2,1416.5,d
12,3.2,1820.5,EE
13,3.2,1327.5,e
13,3.2,1324.5,d
13,3.2,1350,EE
14,3.2,1340,e
14,3.2,1309,d
14,3.2,1546.5,EE
15,3.2,1025,e
15,3.2,1119,d
15,3.2,1014,EE
16,3.2,1178,e
16,3.2,1272,d
16,3.2,1169.5,EE
17,3.2,1169,e
17,3.2,1316,d
17,3.2,1157,EE
18,3.2,1173,e
18,3.2,911,d
18,3.2,934.5,EE
19,3.2,1930,e
19,3.2,1692.5,d
19,3.2,1948.5,EE
20,3.2,1013.5,e
20,3.2,1057,d
20,3.2,1129,EE
21,3.2,1010,e
21,3.2,946,d
21,3.2,905,EE
22,3.2,814,e
22,3.2,711,d
22,3.2,833,EE
23,3.2,850,e
23,3.2,739,d
23,3.2,901,EE
24,3.2,1002,e
24,3.2,1055.5,d
24,3.2,1409,EE
25,3.2,979,e
25,3.2,892,d
25,3.2,1012.5,EE
26,3.2,1792,e
26,3.2,1915,d
26,3.2,3036,EE
27,3.2,1137,e
27,3.2,1025,d
27,3.2,1134,EE
28,3.2,947.5,e
28,3.2,888.5,d
28,3.2,1059,EE
29,3.2,1369,e
29,3.2,1025,d
29,3.2,1546,EE
30,3.2,1385,e
30,3.2,1410.5,d
30,3.2,1903.5,EE
31,3.2,744,e
31,3.2,990,d
31,3.2,992,EE
32,3.2,1505.5,e
32,3.2,1610.5,d
32,3.2,2199.5,EE
33,3.2,1321,e
33,3.2,1152.5,d
33,3.2,2113.5,EE
34,3.2,1175.5,e
34,3.2,1195.5,d
34,3.2,1275,EE
35,3.2,1236,e
35,3.2,979,d
35,3.2,1029,EE
36,3.2,769,e
36,3.2,645.5,d
36,3.2,616,EE
37,3.2,1526.5,e
37,3.2,1636,d
37,3.2,1683.5,EE
38,3.2,905,e
38,3.2,1053,d
38,3.2,998,EE
39,3.2,830,e
39,3.2,837,d
39,3.2,1045,EE
40,3.2,955,e
40,3.2,950,d
40,3.2,1061.5,EE
41,3.2,967.5,e
41,3.2,1065,d
41,3.2,1026,EE
42,3.2,1324,e
42,3.2,1123,d
42,3.2,788.5,EE
43,3.2,1190,e
43,3.2,1168,d
43,3.2,1248.5,EE
44,3.2,1411,e
44,3.2,1284,d
44,3.2,1310,EE
45,3.2,999,e
45,3.2,1170,d
45,3.2,1286.5,EE
46,3.2,1803,e
46,3.2,1451,d
46,3.2,1482,EE
47,3.2,1352,e
47,3.2,1491,d
47,3.2,1367.5,EE
48,3.2,1411,e
48,3.2,1606,d
48,3.2,1572.5,EE
49,3.2,1560,e
49,3.2,1591,d
49,3.2,1734,EE
50,3.2,1303,e
50,3.2,1347,d
50,3.2,945,EE
51,3.2,956,e
51,3.2,1011.5,d
51,3.2,764,EE
52,3.2,1167.5,e
52,3.2,1520,d
52,3.2,1197,EE
53,3.2,1152,e
53,3.2,1029,d
53,3.2,1279,EE
54,3.2,1006,e
54,3.2,870,d
54,3.2,1055.5,EE
55,3.2,2058,e
55,3.2,1499,d
55,3.2,1821,EE
56,3.2,823,e
56,3.2,802,d
56,3.2,1105,EE
57,3.2,1932.5,e
57,3.2,2666.5,d
57,3.2,3257.5,EE
58,3.2,1412,e
58,3.2,1149,d
58,3.2,1025.5,EE
59,3.2,1347,e
59,3.2,1490,d
59,3.2,1244,EE
60,3.2,4595.5,e
60,3.2,974.5,d
60,3.2,676,EE
61,3.2,1599,e
61,3.2,2238,d
61,3.2,1970.5,EE
62,3.2,991,e
62,3.2,1075,d
62,3.2,1328,EE
63,3.2,2113.5,e
63,3.2,2830,d
63,3.2,3851.5,EE
64,3.2,1081,e
64,3.2,982,d
64,3.2,1073,EE
65,3.2,994,e
65,3.2,868,d
65,3.2,887.5,EE
66,3.2,1302,e
66,3.2,1069,d
66,3.2,1079.5,EE
67,3.2,1078.5,e
67,3.2,1383,d
67,3.2,1014.5,EE
68,3.2,1377,e
68,3.2,1462,d
68,3.2,1355.5,EE
69,3.2,1262,e
69,3.2,1103,d
69,3.2,1194,EE
70,3.2,881,e
70,3.2,846.5,d
70,3.2,705.5,EE
71,3.2,902.5,e
71,3.2,882.5,d
71,3.2,1002.5,EE
72,3.2,950.5,e
72,3.2,1294,d
72,3.2,1305,EE
73,3.2,1103,e
73,3.2,1054,d
73,3.2,1032,EE
74,3.2,1035,e
74,3.2,1166.5,d
74,3.2,1412,EE
75,3.2,1075,e
75,3.2,933,d
75,3.2,1972,EE
76,3.2,682,e
76,3.2,931,d
76,3.2,826,EE
77,3.2,1254.5,e
77,3.2,1054,d
77,3.2,1267.5,EE
78,3.2,1202.5,e
78,3.2,1267.5,d
78,3.2,1246.5,EE
79,3.2,1194,e
79,3.2,761,d
79,3.2,804.5,EE
80,3.2,1477.5,e
80,3.2,782,d
80,3.2,1237,EE
